entries,q_bits,rom_bits,probe_mean,probe_max,probe_p99,probe_count,reciprocal_relative_error_mean,reciprocal_relative_error_max,reciprocal_relative_error_p99,reciprocal_probe_count,reachable_domain_count,reachable_domain_unsupported_count,reachable_domain_overflow_count,reachable_domain_mean,reachable_domain_max,reachable_domain_p99,full_fp32_mantissa_theoretical_max,full_fp32_mantissa_theoretical_max_method,calibration_cases,validation_cases,final_test_cases,calibration_worst_case_error,validation_worst_case_error,validation_ab_worst_case_error,validation_optimized_oracle_worst_case_error,final_test_worst_case_error,validation_pairwise_cosine_min,validation_ab_pairwise_cosine_min,validation_optimized_fp32_pairwise_cosine_min,validation_ab_attention_relative_max,validation_optimized_fp32_attention_relative_max,validation_optimized_oracle_pairwise_cosine_min,validation_optimized_probability_sum_error_max,validation_ab_probability_sum_error_max,final_test_pairwise_cosine_min,final_test_optimized_fp32_pairwise_cosine_min,validation_threshold,pairwise_cosine_threshold,passes_ab_validation_threshold,passes_optimized_oracle_validation_threshold,passes_validation_threshold,recommended,selected
128,14,1920,7.458133949713857e-05,0.00016605673590669014,0.00014897124492566264,1285,7.458133949713857e-05,0.00016605673590669014,0.00014897124492566264,1285,31743,0,0,4.181122654414066e-05,0.00014764070510862957,0.00012004375457766523,NA,NA,64,64,64,0.023566678295767494,0.015469922495405523,0.0017047026185779788,0.015469922495405523,0.015527889579174132,0.9999995929799884,0.9999995929799884,0.9998719594202089,0.0017047026185779788,0.015469925920573575,0.9998719591365518,0.0016454442411486525,0.0014687602524645627,0.9999998326086283,0.9998827288669988,0.015,0.9999,True,False,True,False,False
128,15,2048,3.48672379800916e-05,7.48457969167156e-05,7.186380389606771e-05,1285,3.48672379800916e-05,7.48457969167156e-05,7.186380389606771e-05,1285,31743,0,0,2.273449550612295e-05,7.906556129462809e-05,6.0737133026203285e-05,NA,NA,64,64,64,0.02342343556462084,0.015353543448353334,0.0013952803791004104,0.015353543448353334,0.015524232871986714,0.9999997315638909,0.9999997315638909,0.9998738422359016,0.0013952803791004104,0.015353546855267302,0.9998738419566533,0.001347604516922729,0.0011789345408033114,0.9999998725485074,0.9998826649637227,0.015,0.9999,True,False,True,False,False
128,16,2176,1.5453730142718356e-05,4.1871451685474416e-05,3.689696495708e-05,1285,1.5453730142718356e-05,4.1871451685474416e-05,3.689696495708e-05,1285,31743,0,0,1.464195525312391e-05,4.145503044121891e-05,3.579258918753284e-05,NA,NA,64,64,64,0.023628387784208702,0.015367270460929623,0.0008895489827072863,0.015367270460929623,0.015541770537295288,0.9999999304731786,0.9999999304731786,0.9998735375804747,0.0008895489827072863,0.015367273869996676,0.9998735373002069,0.001331072493485408,0.0008396344328502892,0.9999998798920642,0.9998826657415166,0.015,0.9999,True,False,True,False,False
128,18,2432,6.45861568300034e-06,1.9088849057838903e-05,1.7426893919003384e-05,1285,6.45861568300034e-06,1.9088849057838903e-05,1.7426893919003384e-05,1285,31743,0,0,7.31667646128624e-06,1.7352402210191686e-05,1.5810132026664557e-05,NA,NA,64,64,64,0.02364818714901497,0.015470307639752124,0.0005239480030220456,0.015470307639752124,0.015531069647369144,0.9999999554241925,0.9999999554241925,0.9998721013902242,0.0005239480030220456,0.015470311064980586,0.9998721011049262,0.0017065511747205164,0.0004941167388778922,0.9999999551669742,0.9998826657415166,0.015,0.9999,True,False,True,False,False
128,20,2688,4.566594798903398e-06,1.621665057878528e-05,1.5616650102832533e-05,1285,4.566594798903398e-06,1.621665057878528e-05,1.5616650102832533e-05,1285,31743,0,0,5.507301097331111e-06,1.5377998352036903e-05,1.4415942132429082e-05,NA,NA,64,64,64,0.023649624343557774,0.015468385993852559,0.0005239480030220456,0.015468385993852559,0.015523787970104981,0.9999999555113507,0.9999999555113507,0.9998721082435067,0.0005239480030220456,0.015468389418779609,0.9998721079582426,0.0017037838661053684,0.0004940764373486672,0.9999999551669742,0.9998826657415166,0.015,0.9999,True,False,True,False,False
128,23,3072,3.911859889300199e-06,1.5139576149140173e-05,1.4644349903368162e-05,1285,3.911859889300199e-06,1.5139576149140173e-05,1.4644349903368162e-05,1285,31743,0,0,5.013283453732412e-06,1.5138648450360725e-05,1.3830605894374001e-05,NA,NA,64,64,64,0.023649624343557774,0.015468385993852559,0.0005239480030220456,0.015468385993852559,0.015523787970104981,0.9999999555113507,0.9999999555113507,0.9998721082435067,0.0005239480030220456,0.015468389418779609,0.9998721079582426,0.0017037838661053684,0.0004930805042704378,0.9999999551669742,0.9998826657415166,0.015,0.9999,True,False,True,False,False
256,10,2816,0.0014584249715367834,0.002792809158563545,0.00265932863112535,1285,0.0014584249715367834,0.002792809158563545,0.00265932863112535,1285,31743,0,0,0.00057913306695063,0.002302169799804592,0.0018758773803711493,NA,NA,64,64,64,0.02597531347082486,0.018316228758403552,0.01337698904933846,0.018316228758403552,0.018793414630792156,0.999979011267449,0.999979011267449,0.9998501415754016,0.01337698904933846,0.01831611914719733,0.9998501412559773,0.01193184639851097,0.011765484168790863,0.9999833574327198,0.9998364438393472,0.015,0.9999,True,False,True,False,False
256,12,3328,0.00036808922963854277,0.0007021357305347022,0.0006571356207131555,1285,0.00036808922963854277,0.0007021357305347022,0.0006571356207131555,1285,31743,0,0,0.00013637096576998799,0.0005345344543456512,0.00045323371887213466,NA,NA,64,64,64,0.02379488062184194,0.015367533456468636,0.002552392283509355,0.015367533456468636,0.01587269186166435,0.9999988852878885,0.9999988852878885,0.9998705243556087,0.002552392283509355,0.015367538580080694,0.9998705240693512,0.0030179663575609084,0.0025219422896043397,0.9999978958806863,0.9998791787757099,0.015,0.9999,True,False,True,False,False
256,14,3840,8.189523820099021e-05,0.00016605673590669014,0.00015575291763516384,1285,8.189523820099021e-05,0.00016605673590669014,0.00015575291763516384,1285,31743,0,0,3.2466863882103836e-05,0.00012099742889400806,0.00010281801223760445,NA,NA,64,64,64,0.023588380123657732,0.015456734259800665,0.0013282071966964476,0.015456734259800665,0.015533734788222633,0.9999997430112066,0.9999997430112066,0.999872079362941,0.0013282071966964476,0.015456737682900139,0.999872079077996,0.0015044019971810485,0.001196128305309685,0.9999998355036437,0.9998826649637227,0.015,0.9999,True,False,True,False,False
256,15,4096,3.7057225999317636e-05,7.29701714589503e-05,7.185260619730935e-05,1285,3.7057225999317636e-05,7.29701714589503e-05,7.185260619730935e-05,1285,31743,0,0,1.704853198345259e-05,6.696581840504825e-05,5.313754081732992e-05,8.76765e-05,validated by bin-local FP32 mantissa interval enumeration with endpoint RNE and interpolation truncation,64,64,64,0.023464997651359544,0.01535299305744792,0.0010507914128363204,0.01535299305744792,0.015552799134726595,0.9999998846405935,0.9999998846405935,0.9998738529362103,0.0010507914128363204,0.01535299646427556,0.9998738526563294,0.001344288310065167,0.000956693991611246,0.9999998761199628,0.9998827216433631,0.015,0.9999,True,False,True,True,True
