workload,sequence_length,head_dimension,seed,model,model_role,lut_entries,lut_q_bits,lut_input_scale,lut_output_scale,probability_mae,probability_stable_relative_error,probability_cosine_similarity,output_mae,output_stable_relative_error,output_cosine_similarity,probability_sum,probability_sum_error,tile_size,tile_count,merge_count,tile_lengths,final_m,final_l,reciprocal_overflow_count,reciprocal_unsupported_count,ab_probability_mae,ab_probability_stable_relative_error,ab_probability_cosine_similarity,ab_output_mae,ab_output_stable_relative_error,ab_output_cosine_similarity,ab_probability_sum_error,optimized_vs_fp32_probability_mae,optimized_vs_fp32_probability_stable_relative_error,optimized_vs_fp32_probability_cosine_similarity,optimized_vs_fp32_output_mae,optimized_vs_fp32_output_stable_relative_error,optimized_vs_fp32_output_cosine_similarity,optimized_vs_fp32_probability_sum_error
random_scores,128,128,2904950224,mixed_rtl_exact,diagnostic,256,14,32.0,16384,5.38699880485692e-05,0.006895358470216858,0.9999664095069715,0.0008783712237698067,0.0076346542635996805,0.9999734110205188,1.0001403630012646,0.00014036300126463175,32,4,3,"[7.1651611328125, 4.34918212890625, 6.4476318359375, 6.52703857421875]",2.677734375,16.01743507385254,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,128,128,2904950224,mixed_rtl_reciprocal,diagnostic,256,14,32.0,16384,5.3436079040289756e-05,0.00683981811715709,0.9999666924870811,0.0008749812562776154,0.007605189238941148,0.9999734751262997,1.0001959033543244,0.00019590335432440042,32,4,3,"[7.1651611328125, 4.34918212890625, 6.4476318359375, 6.52703857421875]",2.677734375,16.01743507385254,0,0,4.339090082794428e-07,5.553255834321172e-05,0.999999961338093,3.0505409085890278e-05,0.00026489306964791833,0.9999999723591073,5.554035305976868e-05,5.343603947949305e-05,0.006839813279313619,0.9999666925681743,0.000874981236847816,0.0076051893722358125,0.9999734752212524,0.00019593638717196882
random_scores,256,64,653177637,fp32,primary,NA,NA,NA,NA,3.3033627858411194e-10,8.456608731753266e-08,0.9999999999999978,1.1133311228456659e-08,1.2652938216652886e-07,0.9999999999999946,0.9999999397696229,6.02303771302104e-08,32,8,7,"[5.065628528594971, 3.3098702430725098, 7.024957656860352, 7.211015701293945, 7.827442169189453, 9.462767601013184, 5.3614091873168945, 6.111082553863525]",2.953838348388672,21.615345001220703,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,64,653177637,fp16,primary,NA,NA,NA,NA,2.355505877449913e-06,0.0006030095046271778,0.9999996975633622,8.782207683208057e-05,0.0009980923818730776,0.9999994295019693,0.9998966455459595,0.00010335445404052734,32,8,7,"[5.0625, 3.3125, 7.015625, 7.21875, 7.82421875, 9.4609375, 5.36328125, 6.11328125]",2.953125,21.640625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,64,653177637,mixed,primary,256,14,32.0,16384,3.306769951845407e-05,0.008465331076724241,0.9999617482211329,0.0006610088044184368,0.0075123235049717385,0.9999700300232923,1.000183013471542,0.00018301347154192626,32,8,7,"[5.0638427734375, 3.321044921875, 7.04534912109375, 7.22998046875, 7.84722900390625, 9.486083984375, 5.36065673828125, 6.113525390625]",2.953125,21.680885314941406,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,64,653177637,mixed_exact_exp,diagnostic,256,14,32.0,16384,2.3030692081295072e-06,0.0005895857172811539,0.9999998195692087,4.4963212737657226e-05,0.0005110040859521201,0.9999998877725563,1.0003125189978164,0.00031251899781636894,32,8,7,"[5.0658087730407715, 3.311333179473877, 7.021844387054443, 7.212270736694336, 7.830413818359375, 9.465967178344727, 5.363008975982666, 6.111422061920166]",2.953125,21.62881851196289,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,64,653177637,mixed_rtl_exact,diagnostic,256,14,32.0,16384,3.306769951845407e-05,0.008465331076724241,0.9999617482211329,0.0006610088044184368,0.0075123235049717385,0.9999700300232923,1.000183013471542,0.00018301347154192626,32,8,7,"[5.0638427734375, 3.321044921875, 7.04534912109375, 7.22998046875, 7.84722900390625, 9.486083984375, 5.36065673828125, 6.113525390625]",2.953125,21.680879592895508,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,64,653177637,mixed_rtl_reciprocal,diagnostic,256,14,32.0,16384,3.306771475249032e-05,0.008465334976637522,0.999961742628244,0.0006581583816218848,0.007479928629093367,0.9999701936825225,1.000190792052308,0.00019079205230809748,32,8,7,"[5.0638427734375, 3.321044921875, 7.04534912109375, 7.22998046875, 7.84722900390625, 9.486083984375, 5.36065673828125, 6.113525390625]",2.953125,21.680879592895508,0,0,1.6584885997872334e-07,4.244953931699741e-05,0.9999999773573754,1.6884652723092586e-05,0.00019213021533827222,0.9999999823181617,7.778580766171217e-06,3.3067698211652896e-05,0.008465331252053235,0.9999617426561094,0.0006581569541594945,0.007479912922714068,0.9999701937059702,0.0001908522826852277
random_scores,256,128,4018679175,fp32,primary,NA,NA,NA,NA,3.4122961022654305e-10,8.735478021799503e-08,0.9999999999999947,9.851321525113443e-09,1.4291820358353604e-07,0.99999999999999,1.000000037092832,3.7092831917107105e-08,32,8,7,"[7.620113372802734, 11.355358123779297, 6.655353546142578, 10.351326942443848, 6.88498592376709, 7.200949192047119, 6.252986431121826, 9.41059398651123]",2.1729719638824463,47.27865219116211,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,128,4018679175,fp16,primary,NA,NA,NA,NA,3.3127509149050436e-06,0.0008480642342156913,0.9999997220765503,0.00011217354140438106,0.0016273594345945304,0.9999992417449798,1.000712513923645,0.0007125139236450195,32,8,7,"[7.6171875, 11.34375, 6.65625, 10.34375, 6.87890625, 7.19921875, 6.25, 9.4140625]",2.173828125,47.1875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
