case_id,split,entries,q_bits,rom_bits,sequence_length,head_dimension,score_scale,repetition,seed,probability_stable_relative_error,output_stable_relative_error,case_worst_error,probability_sum_error
random_scores_L512_D128_scale1_R1,final_test,256,12,4096,512,128,2.0,1,4089477858,0.009486184400423751,0.008872426146151824,0.009486184400423751,0.0002220813580606773
random_scores_L1024_D64_scale0_R0,final_test,256,12,4096,1024,64,1.0,0,3209714255,0.009171998031932777,0.010010045283909702,0.010010045283909702,0.00048235263966489583
random_scores_L1024_D64_scale0_R1,final_test,256,12,4096,1024,64,1.0,1,139766981,0.010115788198249561,0.009810086022744705,0.010115788198249561,0.000283416906313505
random_scores_L1024_D64_scale1_R0,final_test,256,12,4096,1024,64,2.0,0,1668092918,0.009220861644701019,0.006605426788333278,0.009220861644701019,0.0006796376075612898
random_scores_L1024_D64_scale1_R1,final_test,256,12,4096,1024,64,2.0,1,2370976415,0.00989027318537023,0.011297202863574208,0.011297202863574208,0.00035058223500072927
random_scores_L1024_D128_scale0_R0,final_test,256,12,4096,1024,128,1.0,0,2619846946,0.010704365505038206,0.012773218394740781,0.012773218394740781,0.00023824487288948148
random_scores_L1024_D128_scale0_R1,final_test,256,12,4096,1024,128,1.0,1,100676919,0.009977034308717402,0.012614067201457597,0.012614067201457597,0.0001439775078324601
random_scores_L1024_D128_scale1_R0,final_test,256,12,4096,1024,128,2.0,0,3901754262,0.010725876848396196,0.007844899249247271,0.010725876848396196,0.0005398102746312361
random_scores_L1024_D128_scale1_R1,final_test,256,12,4096,1024,128,2.0,1,3348629160,0.0076362418650741705,0.005977952197603453,0.0076362418650741705,0.0006501722162965962
random_scores_L128_D64_scale0_R0,calibration,256,14,4096,128,64,1.0,0,685338081,0.007055263582777905,0.006323064277754025,0.007055263582777905,0.0005470073083415627
random_scores_L128_D64_scale0_R1,calibration,256,14,4096,128,64,1.0,1,663847107,0.00745638343206354,0.01016248106145157,0.01016248106145157,0.0002692849957384169
random_scores_L128_D64_scale1_R0,calibration,256,14,4096,128,64,2.0,0,3773109054,0.006855168034486206,0.008279439078177513,0.008279439078177513,0.0006500812269223388
random_scores_L128_D64_scale1_R1,calibration,256,14,4096,128,64,2.0,1,595832534,0.009074173064361427,0.008133616277807043,0.009074173064361427,0.00013640743782161735
random_scores_L128_D128_scale0_R0,calibration,256,14,4096,128,128,1.0,0,3390620030,0.008116113697515446,0.01041362238248864,0.01041362238248864,0.00044268937199376523
random_scores_L128_D128_scale0_R1,calibration,256,14,4096,128,128,1.0,1,4022284655,0.00859911483901642,0.010055397838536895,0.010055397838536895,0.00038632185896858573
random_scores_L128_D128_scale1_R0,calibration,256,14,4096,128,128,2.0,0,887663375,0.007298714466485105,0.006899603720709385,0.007298714466485105,9.779839638213161e-05
random_scores_L128_D128_scale1_R1,calibration,256,14,4096,128,128,2.0,1,1888543280,0.00784867731309192,0.007454337499727268,0.00784867731309192,0.0006914131963640102
random_scores_L256_D64_scale0_R0,calibration,256,14,4096,256,64,1.0,0,2004917602,0.00836690092112422,0.009839874900601696,0.009839874900601696,0.000568794144783169
random_scores_L256_D64_scale0_R1,calibration,256,14,4096,256,64,1.0,1,1803965758,0.009202525188009876,0.009851260299417446,0.009851260299417446,0.00032181951974052936
random_scores_L256_D64_scale1_R0,calibration,256,14,4096,256,64,2.0,0,2041129786,0.005198012379079939,0.0017375603784898857,0.005198012379079939,7.605552491440903e-05
random_scores_L256_D64_scale1_R1,calibration,256,14,4096,256,64,2.0,1,209589351,0.0062221310878358225,0.0034003937022074183,0.0062221310878358225,0.00015868028140175738
random_scores_L256_D128_scale0_R0,calibration,256,14,4096,256,128,1.0,0,3371775186,0.01067009421770855,0.011530077061330022,0.011530077061330022,8.034566417336464e-05
random_scores_L256_D128_scale0_R1,calibration,256,14,4096,256,128,1.0,1,141512215,0.009096057581683602,0.008951961828933317,0.009096057581683602,3.18601232720539e-05
random_scores_L256_D128_scale1_R0,calibration,256,14,4096,256,128,2.0,0,2879470677,0.007519394387309359,0.0038824685480544374,0.007519394387309359,0.0007763409757899353
random_scores_L256_D128_scale1_R1,calibration,256,14,4096,256,128,2.0,1,1485725105,0.00619023111169461,0.004821637738585162,0.00619023111169461,0.000322917756420793
random_scores_L512_D64_scale0_R0,calibration,256,14,4096,512,64,1.0,0,393753057,0.011401277132752416,0.013449515129083036,0.013449515129083036,0.0003865304388455115
random_scores_L512_D64_scale0_R1,calibration,256,14,4096,512,64,1.0,1,2303777491,0.01080961098147846,0.013657007209318109,0.013657007209318109,0.00016004993085516617
random_scores_L512_D64_scale1_R0,calibration,256,14,4096,512,64,2.0,0,3353718886,0.009092195123324003,0.01053965786692694,0.01053965786692694,0.0009195046868626378
random_scores_L512_D64_scale1_R1,calibration,256,14,4096,512,64,2.0,1,3069741948,0.012618724548970806,0.013058142420607117,0.013058142420607117,0.0006232825317056268
random_scores_L512_D128_scale0_R0,calibration,256,14,4096,512,128,1.0,0,2711588791,0.009994188419336079,0.010837984318751319,0.010837984318751319,0.00023494374909205362
random_scores_L512_D128_scale0_R1,calibration,256,14,4096,512,128,1.0,1,4160562991,0.009122076748088735,0.009814885101115256,0.009814885101115256,0.0009203412701026537
random_scores_L512_D128_scale1_R0,calibration,256,14,4096,512,128,2.0,0,699071233,0.009824867077294862,0.006422382236449449,0.009824867077294862,0.0001272571839763259
random_scores_L512_D128_scale1_R1,calibration,256,14,4096,512,128,2.0,1,2945457681,0.00709338177048382,0.002260020114889387,0.00709338177048382,0.0004781267032285541
random_scores_L1024_D64_scale0_R0,calibration,256,14,4096,1024,64,1.0,0,844679095,0.013117154934016384,0.01658453654073455,0.01658453654073455,0.00027921034597966354
random_scores_L1024_D64_scale0_R1,calibration,256,14,4096,1024,64,1.0,1,2426034371,0.009411282990604137,0.010618577810964662,0.010618577810964662,0.00044552502367878333
random_scores_L1024_D64_scale1_R0,calibration,256,14,4096,1024,64,2.0,0,974098872,0.009099128763108989,0.003715074119507762,0.009099128763108989,0.00010134554463547829
random_scores_L1024_D64_scale1_R1,calibration,256,14,4096,1024,64,2.0,1,3900981413,0.007869388425719577,0.007549931201401508,0.007869388425719577,0.0003563387951999175
random_scores_L1024_D128_scale0_R0,calibration,256,14,4096,1024,128,1.0,0,955864114,0.010807597058500193,0.011049211300071108,0.011049211300071108,0.0004512735886237351
random_scores_L1024_D128_scale0_R1,calibration,256,14,4096,1024,128,1.0,1,2316380272,0.00999508100482769,0.011975290776655642,0.011975290776655642,0.00028317652322584763
random_scores_L1024_D128_scale1_R0,calibration,256,14,4096,1024,128,2.0,0,2742530172,0.011468375051586642,0.009423390270460304,0.011468375051586642,0.0012821561005580406
random_scores_L1024_D128_scale1_R1,calibration,256,14,4096,1024,128,2.0,1,1261299849,0.009253534971177865,0.010161016609832672,0.010161016609832672,0.00036754513536152444
random_scores_L128_D64_scale0_R0,validation,256,14,4096,128,64,1.0,0,2179143755,0.009380962501721492,0.008248978295230717,0.009380962501721492,0.00017079620738513768
random_scores_L128_D64_scale0_R1,validation,256,14,4096,128,64,1.0,1,886552149,0.007857458652748077,0.007031658099462381,0.007857458652748077,0.0003439507563598454
random_scores_L128_D64_scale1_R0,validation,256,14,4096,128,64,2.0,0,1623101201,0.007125142305964011,0.008308580780398964,0.008308580780398964,0.0004140935825489578
random_scores_L128_D64_scale1_R1,validation,256,14,4096,128,64,2.0,1,3380450944,0.007810531148976688,0.009216939587095274,0.009216939587095274,0.00034443119693605695
random_scores_L128_D128_scale0_R0,validation,256,14,4096,128,128,1.0,0,1566150152,0.009179295741775728,0.009525855526080367,0.009525855526080367,0.0002375264884904027
random_scores_L128_D128_scale0_R1,validation,256,14,4096,128,128,1.0,1,2703662685,0.009348236604461976,0.008632554579624533,0.009348236604461976,0.00017618772108107805
random_scores_L128_D128_scale1_R0,validation,256,14,4096,128,128,2.0,0,2135881214,0.006953767377043459,0.006009327915204509,0.006953767377043459,0.0005935425378993386
random_scores_L128_D128_scale1_R1,validation,256,14,4096,128,128,2.0,1,50132451,0.008475389476759292,0.006414345597735007,0.008475389476759292,5.331307329470292e-05
random_scores_L256_D64_scale0_R0,validation,256,14,4096,256,64,1.0,0,3087993604,0.008599712125474078,0.007451838723876324,0.008599712125474078,0.0004426446830620989
random_scores_L256_D64_scale0_R1,validation,256,14,4096,256,64,1.0,1,41277796,0.009011618510104123,0.011359737517786466,0.011359737517786466,0.00041352702828589827
random_scores_L256_D64_scale1_R0,validation,256,14,4096,256,64,2.0,0,652470873,0.007620535196157484,0.0064196215689444214,0.007620535196157484,0.0006025053844496142
random_scores_L256_D64_scale1_R1,validation,256,14,4096,256,64,2.0,1,2912149884,0.007165245359321107,0.004781130859438309,0.007165245359321107,2.764397686405573e-05
random_scores_L256_D128_scale0_R0,validation,256,14,4096,256,128,1.0,0,2087022523,0.009552094139629244,0.010606397409967286,0.010606397409967286,0.0002827624703058973
random_scores_L256_D128_scale0_R1,validation,256,14,4096,256,128,1.0,1,1568551378,0.00874851798620833,0.010334622052882275,0.010334622052882275,7.41941767046228e-05
random_scores_L256_D128_scale1_R0,validation,256,14,4096,256,128,2.0,0,3514103192,0.006376054333296977,0.0032966948205624355,0.006376054333296977,0.0001394252849422628
random_scores_L256_D128_scale1_R1,validation,256,14,4096,256,128,2.0,1,151134492,0.006527334033847099,0.00652404954963037,0.006527334033847099,0.000605352461207076
random_scores_L512_D64_scale0_R0,validation,256,14,4096,512,64,1.0,0,2656095403,0.008337563471685062,0.007186594006251685,0.008337563471685062,0.00017678718722891062
random_scores_L512_D64_scale0_R1,validation,256,14,4096,512,64,1.0,1,3366063715,0.010263182001474816,0.012336645003163381,0.012336645003163381,2.4225224478868768e-05
random_scores_L512_D64_scale1_R0,validation,256,14,4096,512,64,2.0,0,909893417,0.005371572730313531,0.0013465865710077902,0.005371572730313531,0.0005879404493498441
random_scores_L512_D64_scale1_R1,validation,256,14,4096,512,64,2.0,1,2640543791,0.010371302527948595,0.009690462877459562,0.010371302527948595,0.0004927850200147077
random_scores_L512_D128_scale0_R0,validation,256,14,4096,512,128,1.0,0,3478535314,0.011445687829762411,0.013673907648908096,0.013673907648908096,0.0007318704083445482
random_scores_L512_D128_scale0_R1,validation,256,14,4096,512,128,1.0,1,1865149601,0.012588168684347837,0.010774480303112531,0.012588168684347837,0.001699479758826783
