candidate_id,opcode,opcode_name,funct3,funct7,rs1,rs2,variable_rd,words_checked,active_decoder_family_overlap_count,selected_generator_family_overlap_count,all_source_generator_family_overlap_count,active_decoder_all_32_rd_safe,selected_generator_all_32_rd_safe,all_source_all_32_rd_safe,status,pattern
,0x5b,custom-2,0,56,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110000000000000000?????1011011
,0x5b,custom-2,0,57,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01110010000000000000?????1011011
,0x5b,custom-2,0,58,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110100000000000000?????1011011
,0x5b,custom-2,0,59,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110110000000000000?????1011011
,0x5b,custom-2,0,60,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111000000000000000?????1011011
,0x5b,custom-2,0,61,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01111010000000000000?????1011011
,0x5b,custom-2,0,62,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111100000000000000?????1011011
,0x5b,custom-2,0,63,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111110000000000000?????1011011
,0x5b,custom-2,0,64,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000000000000000000?????1011011
,0x5b,custom-2,0,65,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10000010000000000000?????1011011
,0x5b,custom-2,0,66,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000100000000000000?????1011011
,0x5b,custom-2,0,67,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000110000000000000?????1011011
,0x5b,custom-2,0,68,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10001000000000000000?????1011011
,0x5b,custom-2,0,69,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10001010000000000000?????1011011
,0x5b,custom-2,0,70,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10001100000000000000?????1011011
,0x5b,custom-2,0,71,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10001110000000000000?????1011011
,0x5b,custom-2,0,72,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10010000000000000000?????1011011
,0x5b,custom-2,0,73,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10010010000000000000?????1011011
,0x5b,custom-2,0,74,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10010100000000000000?????1011011
,0x5b,custom-2,0,75,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10010110000000000000?????1011011
,0x5b,custom-2,0,76,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10011000000000000000?????1011011
,0x5b,custom-2,0,77,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10011010000000000000?????1011011
,0x5b,custom-2,0,78,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10011100000000000000?????1011011
,0x5b,custom-2,0,79,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10011110000000000000?????1011011
,0x5b,custom-2,0,80,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10100000000000000000?????1011011
,0x5b,custom-2,0,81,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10100010000000000000?????1011011
,0x5b,custom-2,0,82,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10100100000000000000?????1011011
,0x5b,custom-2,0,83,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10100110000000000000?????1011011
,0x5b,custom-2,0,84,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10101000000000000000?????1011011
,0x5b,custom-2,0,85,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10101010000000000000?????1011011
,0x5b,custom-2,0,86,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10101100000000000000?????1011011
,0x5b,custom-2,0,87,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10101110000000000000?????1011011
,0x5b,custom-2,0,88,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10110000000000000000?????1011011
,0x5b,custom-2,0,89,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10110010000000000000?????1011011
,0x5b,custom-2,0,90,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10110100000000000000?????1011011
,0x5b,custom-2,0,91,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10110110000000000000?????1011011
,0x5b,custom-2,0,92,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10111000000000000000?????1011011
,0x5b,custom-2,0,93,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10111010000000000000?????1011011
,0x5b,custom-2,0,94,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10111100000000000000?????1011011
,0x5b,custom-2,0,95,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10111110000000000000?????1011011
,0x5b,custom-2,0,96,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11000000000000000000?????1011011
,0x5b,custom-2,0,97,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11000010000000000000?????1011011
,0x5b,custom-2,0,98,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11000100000000000000?????1011011
,0x5b,custom-2,0,99,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11000110000000000000?????1011011
,0x5b,custom-2,0,100,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11001000000000000000?????1011011
,0x5b,custom-2,0,101,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11001010000000000000?????1011011
,0x5b,custom-2,0,102,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11001100000000000000?????1011011
,0x5b,custom-2,0,103,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11001110000000000000?????1011011
,0x5b,custom-2,0,104,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11010000000000000000?????1011011
,0x5b,custom-2,0,105,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11010010000000000000?????1011011
,0x5b,custom-2,0,106,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11010100000000000000?????1011011
,0x5b,custom-2,0,107,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11010110000000000000?????1011011
,0x5b,custom-2,0,108,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11011000000000000000?????1011011
