instruction_name,source_name,pattern,source_file,source_location,generation_input
VFGT_S,vfgt.s,1010101??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:284,No
VFGT_R_S,vfgt.r.s,1010101??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:285,No
VFMV_X_S,vfmv.x.s,100110000000?????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:287,No
VFMV_S_X,vfmv.s.x,100110000000?????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:288,No
VFCVT_X_S,vfcvt.x.s,100110000010?????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:289,No
VFCVT_XU_S,vfcvt.xu.s,100110000010?????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:290,No
VFCVT_S_X,vfcvt.s.x,100110000011?????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:291,No
VFCVT_S_XU,vfcvt.s.xu,100110000011?????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:292,No
VFCPKA_S_S,vfcpka.s.s,1011000??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:294,No
VFCPKB_S_S,vfcpkb.s.s,1011000??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:295,No
VFCPKC_S_S,vfcpkc.s.s,1011001??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:296,No
VFCPKD_S_S,vfcpkd.s.s,1011001??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:297,No
VFCPKA_S_D,vfcpka.s.d,1011010??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:299,No
VFCPKB_S_D,vfcpkb.s.d,1011010??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:300,No
VFCPKC_S_D,vfcpkc.s.d,1011011??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:301,No
VFCPKD_S_D,vfcpkd.s.d,1011011??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:302,No
VFCVT_H_H,vfcvt.h.h,100110000101?????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:304,No
VFCVTU_H_H,vfcvtu.h.h,100110000101?????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:307,No
VFADD_H,vfadd.h,1000001??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:317,No
VFADD_R_H,vfadd.r.h,1000001??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:318,No
VFSUB_H,vfsub.h,1000010??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:319,No
