candidate,candidate_pattern,conflicting_instruction,existing_pattern,witness_machine_word,source_kind,source_file,source_location
custom-2_f0_f7_125,11111010000000000000?????1011011,IMADD,?????01??????????000?????1011011,0xfa00005b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:41
custom-2_f1_f7_0,00000000000000000001?????1011011,ISLL,0000000??????????001?????1011011,0x0000105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:32
custom-2_f1_f7_1,00000010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x0200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_2,00000100000000000001?????1011011,IMULH,0000010??????????001?????1011011,0x0400105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:47
custom-2_f1_f7_4,00001000000000000001?????1011011,ISHFL,0000100??????????001?????1011011,0x0800105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:103
custom-2_f1_f7_5,00001010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x0a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_5,00001010000000000001?????1011011,ICLMUL,0000101??????????001?????1011011,0x0a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:95
custom-2_f1_f7_9,00010010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x1200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_13,00011010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x1a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_16,00100000000000000001?????1011011,ISLO,0010000??????????001?????1011011,0x2000105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:55
custom-2_f1_f7_17,00100010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x2200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_20,00101000000000000001?????1011011,ISBSET,0010100??????????001?????1011011,0x2800105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:61
custom-2_f1_f7_21,00101010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x2a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_25,00110010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x3200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
